     132.453300       34.439388
     132.458990       34.439182
     132.464636       34.438566
     132.470196       34.437544
     132.475628       34.436124
     132.480888       34.434317
     132.485939       34.432137
     132.490741       34.429601
     132.495257       34.426727
     132.499454       34.423538
     132.503299       34.420057
     132.506763       34.416312
     132.509819       34.412331
     132.512445       34.408144
     132.514621       34.403784
     132.516329       34.399283
     132.517558       34.394675
     132.518297       34.389997
     132.518542       34.385283
     132.518290       34.380569
     132.517543       34.375891
     132.516308       34.371285
     132.514594       34.366785
     132.512413       34.362427
     132.509783       34.358243
     132.506723       34.354264
     132.503257       34.350522
     132.499412       34.347045
     132.495216       34.343859
     132.490701       34.340987
     132.485903       34.338453
     132.480856       34.336276
     132.475601       34.334471
     132.470175       34.333053
     132.464622       34.332032
     132.458983       34.331417
     132.453300       34.331211
     132.447617       34.331417
     132.441978       34.332032
     132.436425       34.333053
     132.430999       34.334471
     132.425744       34.336276
     132.420697       34.338453
     132.415899       34.340987
     132.411384       34.343859
     132.407188       34.347045
     132.403343       34.350522
     132.399877       34.354264
     132.396817       34.358243
     132.394187       34.362427
     132.392006       34.366785
     132.390292       34.371285
     132.389057       34.375891
     132.388310       34.380569
     132.388058       34.385283
     132.388303       34.389997
     132.389042       34.394675
     132.390271       34.399283
     132.391979       34.403784
     132.394155       34.408144
     132.396781       34.412331
     132.399837       34.416312
     132.403301       34.420057
     132.407146       34.423538
     132.411343       34.426727
     132.415859       34.429601
     132.420661       34.432137
     132.425712       34.434317
     132.430972       34.436124
     132.436404       34.437544
     132.441964       34.438566
     132.447610       34.439182
     132.453300       34.439388
