     133.637300       33.888291
     133.652463       33.887738
     133.667509       33.886083
     133.682325       33.883339
     133.696796       33.879527
     133.710812       33.874676
     133.724266       33.868822
     133.737056       33.862012
     133.749083       33.854296
     133.760256       33.845734
     133.770490       33.836392
     133.779707       33.826339
     133.787837       33.815654
     133.794818       33.804418
     133.800599       33.792717
     133.805134       33.780639
     133.808390       33.768277
     133.810343       33.755724
     133.810979       33.743078
     133.810292       33.730433
     133.808290       33.717886
     133.804988       33.705533
     133.800411       33.693467
     133.794594       33.681780
     133.787584       33.670562
     133.779432       33.659896
     133.770202       33.649864
     133.759963       33.640542
     133.748795       33.632001
     133.736781       33.624305
     133.724013       33.617514
     133.710588       33.611678
     133.696608       33.606841
     133.682178       33.603041
     133.667409       33.600306
     133.652412       33.598656
     133.637300       33.598105
     133.622188       33.598656
     133.607191       33.600306
     133.592422       33.603041
     133.577992       33.606841
     133.564012       33.611678
     133.550587       33.617514
     133.537819       33.624305
     133.525805       33.632001
     133.514637       33.640542
     133.504398       33.649864
     133.495168       33.659896
     133.487016       33.670562
     133.480006       33.681780
     133.474189       33.693467
     133.469612       33.705533
     133.466310       33.717886
     133.464308       33.730433
     133.463621       33.743078
     133.464257       33.755724
     133.466210       33.768277
     133.469466       33.780639
     133.474001       33.792717
     133.479782       33.804418
     133.486763       33.815654
     133.494893       33.826339
     133.504110       33.836392
     133.514344       33.845734
     133.525517       33.854296
     133.537544       33.862012
     133.550334       33.868822
     133.563788       33.874676
     133.577804       33.879527
     133.592275       33.883339
     133.607091       33.886083
     133.622137       33.887738
     133.637300       33.888291
